epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.067,1.78853,1.82045,1.57042,0.155,0.15695,0.06752,0.01959,2.82664,11.1958,3.02003,0.00066474,0.00066474,0.00066474
2,285.018,1.76273,1.63516,1.56022,0.37276,0.3046,0.26679,0.09963,2.26593,2.86691,2.37053,0.00129845,0.00129845,0.00129845
3,420.112,1.59562,1.39143,1.45601,0.3489,0.3471,0.26695,0.10386,2.21929,3.09022,2.30264,0.00189917,0.00189917,0.00189917
4,555.167,1.50182,1.29286,1.40969,0.40569,0.39967,0.32417,0.12858,2.21238,2.29262,2.26531,0.0018515,0.0018515,0.0018515
5,691.574,1.3739,1.13581,1.33838,0.48673,0.42701,0.38641,0.16321,2.10986,2.08237,2.18891,0.001802,0.001802,0.001802
6,826.504,1.29001,1.05643,1.29953,0.54145,0.44586,0.45138,0.19888,2.02009,1.89447,2.06228,0.0017525,0.0017525,0.0017525
7,961.646,1.2223,0.99952,1.26931,0.47076,0.39637,0.36537,0.15199,2.13592,2.09683,2.14475,0.001703,0.001703,0.001703
8,1099.26,1.16831,0.94739,1.24726,0.5572,0.49178,0.48959,0.21826,1.9715,1.81917,2.06947,0.0016535,0.0016535,0.0016535
9,1235.59,1.12162,0.90352,1.22618,0.57788,0.50436,0.50595,0.22897,1.91916,1.74041,1.99531,0.001604,0.001604,0.001604
10,1372.15,1.09758,0.87235,1.21147,0.61774,0.50766,0.53996,0.25254,1.93035,1.71149,1.99569,0.0015545,0.0015545,0.0015545
11,1507.52,1.07286,0.85623,1.20358,0.58853,0.52268,0.53776,0.25498,1.88951,1.65887,1.95552,0.001505,0.001505,0.001505
12,1643.36,1.043,0.82668,1.18985,0.6169,0.51727,0.54498,0.25144,1.92517,1.65947,1.96459,0.0014555,0.0014555,0.0014555
13,1779.08,1.00232,0.79396,1.17305,0.62199,0.52268,0.55879,0.26926,1.87406,1.5821,1.9453,0.001406,0.001406,0.001406
14,1914.93,0.98427,0.77672,1.16154,0.63071,0.54613,0.58293,0.2804,1.85353,1.5442,1.91895,0.0013565,0.0013565,0.0013565
15,2050.36,0.96779,0.77225,1.16574,0.66745,0.55918,0.61285,0.29739,1.82606,1.50504,1.91281,0.001307,0.001307,0.001307
16,2186.98,0.9334,0.73661,1.14454,0.66324,0.5775,0.62275,0.3073,1.80083,1.45087,1.87389,0.0012575,0.0012575,0.0012575
17,2321.91,0.92135,0.72261,1.14139,0.65176,0.58501,0.62498,0.30799,1.81643,1.42253,1.89224,0.001208,0.001208,0.001208
18,2457.04,0.89967,0.71096,1.13036,0.66489,0.56263,0.60622,0.3067,1.79991,1.45567,1.87063,0.0011585,0.0011585,0.0011585
19,2592.58,0.87527,0.68821,1.11917,0.6947,0.58648,0.64317,0.31747,1.79082,1.38635,1.86857,0.001109,0.001109,0.001109
20,2727.12,0.87614,0.68369,1.12499,0.67473,0.58449,0.638,0.32339,1.77038,1.39595,1.84941,0.0010595,0.0010595,0.0010595
21,2862.04,0.853,0.65749,1.10936,0.68949,0.59162,0.64863,0.33245,1.76154,1.36712,1.82207,0.00101,0.00101,0.00101
